Date,US_Area,US_Production,Brazil_Area,Brazil_Production,Argentina_Area,Argentina_Production,China_Area,China_Production,India_Area,India_Production,Paraguay_Area,Paraguay_Production,Canada_Area,Canada_Production,RussianF_Area,RussianF_Production,CentAmer_Area,CentAmer_Production,Bolivia_Area,Bolivia_Production,Africa_Area,Africa_Production
2018-12-31,36097585.92,119500000.0,36750000.0,119500000.0,19000000.0,37000000.0,3782630.0,14200000.0,1336221.92,8400000.0,3573499.9999999995,10000000.0,2611657.62,8000000.0,11419500.0,15481501.52,6574473.18,11966328.0,2141214.14,3135177.0,296425.5,568778.0
2017-12-31,36462208.599999994,119518000.0,35000000.0,109938640.0,20518891.8,54000000.0,3700260.0000000005,10083100.5,1322992.0,2275293.69,3500000.0,5028787.3,2638038.992,2588292.8940000003,11500000.0,15030584.0,6640882.0,11966328.0,2120014.0,3100690.053,302475.0,568778.0
2016-12-31,33482430.0,117208380.0,33153679.0,96296714.0,19504648.0,58799258.0,3370000.0,9163030.0,1336399.0,3204639.0,2190500.0,5827100.0,1979024.0,2119814.0,11500000.0,14008000.0,6640882.0,11966328.0,2120014.0,3135177.0,302475.0,568778.0
2015-12-31,33123470.0,106953940.0,32181243.0,97464936.0,19334915.0,61398276.0,3540000.0,8856302.0,1322992.0,3105938.0,2197400.0,6371000.0,2052112.0,2629862.0,11670000.0,8570000.0,6507748.0,11787725.0,2084420.0,2708170.0,275742.0,396486.0
2014-12-31,33423750.0,106877870.0,30273763.0,86760520.0,19252552.0,53397715.0,3500000.0,9975000.0,1282455.0,2814321.0,2235100.0,6048600.0,1785520.0,2496689.0,11086000.0,10374000.0,6800568.0,12155173.0,1915895.0,2363562.0,228928.0,438496.0
2013-12-31,30858830.0,91389350.0,27906675.0,81724477.0,19418824.0,49306200.0,3080000.0,9086000.0,1222855.0,2826726.0,1860100.0,5358900.0,1817017.0,2050481.0,11716430.0,11861000.0,6790969.0,11951879.0,1200075.0,1517152.0,181864.0,294841.0
2012-12-31,30814720.0,82790870.0,24975258.0,65848857.0,17577320.0,40100196.0,2920000.0,4344960.0,1292826.0,2661910.0,1679000.0,5086400.0,1711410.0,1973932.0,10840000.0,14666000.0,7171140.0,13011059.0,1375167.0,1683123.0,164296.0,298980.0
2011-12-31,29856410.0,84291400.0,23968663.0,74815447.0,18764850.0,48888536.0,2805467.0,8309793.0,1177541.0,1861038.0,1554200.0,4466500.0,1517695.0,1732706.0,10180000.0,12214000.0,7888595.0,14485405.0,1187372.0,1640966.0,175557.0,253746.0
2010-12-31,31003300.0,90663290.0,23327296.0,68756343.0,18130800.0,52675464.0,2671059.0,7460435.0,1086769.0,1693048.0,1505900.0,4444600.0,1099664.0,1458082.0,9554190.0,12736000.0,8515865.0,15083504.0,1036263.0,1222371.0,173273.0,222640.0
2009-12-31,30906980.0,91469550.0,21750468.0,57345382.0,16771003.0,30993380.0,2570000.0,3855000.0,902218.0,1892619.0,1411700.0,3581600.0,1332779.0,1475663.0,9734700.0,9964500.0,9189913.0,14981721.0,794233.0,943660.0,83333.0,165861.0
