Date,bean_high,bean_low,bean_settle,bean_volume,bean_openint,meal_high,meal_low,meal_settle,meal_volume,meal_openint,soyoil_high,soyoil_low,soyoil_settle,soyoil_volume,soyoil_openint
2018-09-02,833.25,816.0,833.0,6332,3996,304.9,300.0,303.7,6076,5890,28.44,28.12,28.37,4685,4385
2018-09-01,833.25,816.0,833.0,6332,3996,304.9,300.0,303.7,6076,5890,28.44,28.12,28.37,4685,4385
2018-08-31,833.25,816.0,833.0,6332,3996,304.9,300.0,303.7,6076,5890,28.44,28.12,28.37,4685,4385
2018-08-30,831.5,817.0,819.5,16179,7374,303.2,300.3,301.4,26114,13827,28.31,27.95,28.28,14679,10250
2018-08-29,830.75,819.75,823.25,23786,16896,304.2,300.0,302.1,23297,22228,28.32,28.0,28.03,22770,16948
2018-08-28,836.5,820.25,820.5,23366,24398,306.7,300.6,300.7,25495,30737,28.57,28.12,28.18,25699,27230
2018-08-27,840.0,824.75,834.75,27365,32549,312.0,304.5,306.3,32788,38340,28.51,27.91,28.37,29338,33100
2018-08-26,840.0,824.75,834.75,27365,32549,312.0,304.5,306.3,32788,38340,28.51,27.91,28.37,29338,33100
2018-08-25,840.0,824.75,834.75,27365,32549,312.0,304.5,306.3,32788,38340,28.51,27.91,28.37,29338,33100
2018-08-24,848.5,840.75,842.0,26404,43884,316.1,312.3,312.7,22304,47349,28.48,28.01,28.15,21184,36238
2018-08-23,861.75,842.0,842.0,17269,45584,322.2,313.5,313.7,21759,51895,28.25,27.96,28.03,10656,36737
2018-08-22,873.75,857.25,858.25,19277,46265,325.1,321.0,321.1,19855,54327,28.61,28.14,28.22,16965,40010
2018-08-21,883.25,873.5,874.5,17183,50272,328.5,324.6,324.9,16975,58097,28.76,28.27,28.59,17138,43324
2018-08-20,896.0,880.5,881.75,9846,51348,333.6,327.4,328.2,11149,60682,28.61,28.32,28.54,8426,43819
2018-08-19,896.0,880.5,881.75,9846,51348,333.6,327.4,328.2,11149,60682,28.61,28.32,28.54,8426,43819
2018-08-18,896.0,880.5,881.75,9846,51348,333.6,327.4,328.2,11149,60682,28.61,28.32,28.54,8426,43819
2018-08-17,887.5,871.0,881.5,18231,51689,336.0,329.4,330.1,10242,63439,28.4,28.07,28.23,8203,45458
2018-08-16,888.25,854.5,885.5,18251,53774,335.8,329.5,334.6,11829,64950,28.25,27.8,28.15,11318,48049
2018-08-15,872.5,856.5,857.5,9598,53896,337.2,329.4,329.5,15785,68045,28.29,27.74,27.88,17938,50949
2018-08-14,862.25,856.5,864.5,81,82,333.4,329.4,335.0,108,36,28.07,28.06,28.09,135,70
2018-08-13,852.75,838.0,853.5,139,278,328.0,321.4,327.8,273,308,28.15,27.94,28.24,42,93
2018-08-12,852.75,838.0,853.5,139,278,328.0,321.4,327.8,273,308,28.15,27.94,28.24,42,93
2018-08-11,852.75,838.0,853.5,139,278,328.0,321.4,327.8,273,308,28.15,27.94,28.24,42,93
2018-08-10,886.25,845.25,846.0,304,467,333.9,323.5,323.5,526,747,28.51,27.97,27.99,150,317
2018-08-09,890.5,887.5,887.75,612,930,337.5,334.0,334.0,533,1056,28.46,28.38,28.42,279,642
2018-08-08,895.75,889.25,893.75,1415,1210,338.0,331.5,337.1,963,1594,28.72,28.39,28.45,1304,838
2018-08-07,891.25,883.25,889.25,2138,1726,333.9,330.7,332.7,927,2137,28.56,28.35,28.59,887,1132
2018-08-06,881.0,872.5,877.25,1749,1752,332.2,328.3,330.0,333,2393,28.38,28.21,28.29,1067,1508
2018-08-05,881.0,872.5,877.25,1749,1752,332.2,328.3,330.0,333,2393,28.38,28.21,28.29,1067,1508
2018-08-04,881.0,872.5,877.25,1749,1752,332.2,328.3,330.0,333,2393,28.38,28.21,28.29,1067,1508
2018-08-03,886.5,870.5,886.25,2608,2003,333.3,329.9,332.5,1401,2996,28.37,28.03,28.35,1752,1653
2018-08-02,886.75,873.75,882.5,4071,3541,336.3,331.8,332.8,2242,3848,28.54,27.96,28.12,3002,2696
2018-08-01,898.0,884.75,886.75,11290,6662,340.8,335.0,336.5,2599,5787,28.68,28.47,28.45,2887,3266
2018-07-31,906.0,873.25,903.75,14277,10869,342.6,333.3,341.2,6789,7396,28.81,28.32,28.73,8388,5307
2018-07-30,881.25,871.25,875.0,54567,27406,336.3,331.4,333.9,23477,16732,28.66,28.25,28.31,39830,18716
2018-07-29,881.25,871.25,875.0,54567,27406,336.3,331.4,333.9,23477,16732,28.66,28.25,28.31,39830,18716
2018-07-28,881.25,871.25,875.0,54567,27406,336.3,331.4,333.9,23477,16732,28.66,28.25,28.31,39830,18716
2018-07-27,874.0,858.25,870.5,35291,48029,336.0,331.6,332.7,23989,25668,28.58,28.11,28.56,36951,28963
2018-07-26,881.0,858.25,861.25,42094,57291,337.9,331.2,332.6,29246,33043,28.69,28.11,28.15,27285,38137
2018-07-25,863.0,852.0,860.75,26585,64857,331.1,327.4,330.0,17923,38797,28.47,28.17,28.41,21843,42974
2018-07-24,862.75,842.5,858.0,31358,71961,330.0,326.1,328.9,18625,43549,28.28,27.86,28.24,11378,44555
2018-07-23,854.75,847.25,847.75,23769,76972,330.4,326.6,328.0,16338,47990,28.31,27.96,27.97,13377,46587
2018-07-22,854.75,847.25,847.75,23769,76972,330.4,326.6,328.0,16338,47990,28.31,27.96,27.97,13377,46587
2018-07-21,854.75,847.25,847.75,23769,76972,330.4,326.6,328.0,16338,47990,28.31,27.96,27.97,13377,46587
2018-07-20,853.25,841.25,849.75,20935,80399,331.5,326.1,326.9,16916,52386,28.27,27.71,28.22,22766,49182
