Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2018-08-24,1357.12,1357.12,1357.12,145262151859.0,0.0
2018-08-23,1341.31,1341.31,1341.31,143569598396.0,0.0
2018-08-22,1364.74,1364.74,1364.74,146077959773.0,0.0
2018-08-21,1321.92,1321.92,1321.92,141494192417.0,0.0
2018-08-20,1356.06,1356.06,1356.06,145148260779.0,0.0
2018-08-17,1357.7,1357.7,1357.7,145324664106.0,0.0
2018-08-16,1385.59,1385.59,1385.59,148309309477.0,0.0
2018-08-15,1392.34,1392.34,1392.34,149032255219.0,0.0
2018-08-14,1454.79,1454.79,1454.79,155716015810.0,365326723.0
2018-08-13,1458.33,1458.33,1458.33,156461940899.0,0.0
2018-08-10,1434.73,1434.73,1434.73,153929887455.0,0.0
2018-08-09,1481.05,1481.05,1481.05,158898811542.0,0.0
2018-08-08,1475.87,1475.87,1475.87,158343362055.0,0.0
2018-08-07,1511.89,1511.89,1511.89,162207758433.0,0.0
2018-08-06,1526.35,1526.35,1526.35,163759258815.0,0.0
2018-08-03,1525.47,1525.47,1525.47,163664341374.0,0.0
2018-08-02,1475.16,1475.16,1475.16,158266821373.0,0.0
2018-08-01,1449.06,1449.06,1449.06,155466662744.0,0.0
2018-07-31,1434.8,1434.8,1434.8,153937263170.0,0.0
2018-07-30,1444.02,1444.02,1444.02,154926435657.0,0.0
2018-07-27,1441.42,1441.42,1441.42,154647014824.0,0.0
2018-07-26,1412.55,1412.55,1412.55,151549461976.0,0.0
2018-07-25,1450.71,1450.71,1450.71,155643624133.0,0.0
2018-07-24,1431.29,1431.29,1431.29,153560510332.0,0.0
2018-07-23,1405.16,1405.16,1405.16,150756577941.0,0.0
2018-07-20,1402.71,1402.71,1402.71,150493981427.0,0.0
2018-07-19,1354.35,1354.35,1354.35,145305236883.0,0.0
2018-07-18,1334.68,1334.68,1334.68,143195640738.0,0.0
2018-07-17,1357.15,1357.15,1357.15,145606404748.0,0.0
2018-07-16,1320.02,1320.02,1320.02,141622713567.0,0.0
2018-07-13,1334.82,1334.82,1334.82,143210033842.0,0.0
2018-07-12,1329.47,1329.47,1329.47,142636296363.0,0.0
2018-07-11,1290.95,1290.95,1290.95,138503562738.0,0.0
2018-07-10,1308.75,1308.75,1308.75,140413201498.0,0.0
2018-07-09,1315.75,1315.75,1315.75,141164740320.0,0.0
2018-07-06,1315.75,1315.75,1315.75,141164740320.0,0.0
2018-07-05,1308.31,1308.31,1308.31,140366618615.0,0.0
2018-07-04,1348.98,1348.98,1348.98,144729118137.0,0.0
2018-07-03,1283.99,1283.99,1283.99,137756599047.0,0.0
2018-07-02,1280.28,1280.28,1280.28,137359049364.0,0.0
2018-06-29,1261.59,1261.59,1261.59,135353222264.0,0.0
2018-06-28,1223.56,1223.56,1223.56,131273188084.0,0.0
2018-06-27,1225.5,1225.5,1225.5,131481621010.0,0.0
2018-06-26,1191.3,1191.3,1191.3,127812170420.0,0.0
2018-06-25,1164.32,1164.32,1164.32,124917309881.0,0.0
2018-06-22,1133.49,1133.49,1133.49,121610362557.0,0.0
2018-06-21,1128.76,1128.76,1128.76,121102231430.0,0.0
2018-06-20,1198.6,1198.6,1198.6,128595772022.0,0.0
2018-06-19,1146.14,1146.14,1146.14,122967221097.0,0.0
2018-06-18,1092.68,1092.68,1092.68,117231094302.0,0.0
2018-06-15,1128.87,1128.87,1128.87,121114663201.0,0.0
2018-06-14,1139.41,1139.41,1139.41,122244673120.0,0.0
2018-06-13,1142.12,1142.12,1142.12,122535807365.0,0.0
2018-06-12,1161.01,1161.01,1161.01,124562895436.0,0.0
2018-06-11,1163.99,1163.99,1163.99,124881821509.0,0.0
2018-06-08,1145.03,1145.03,1145.03,122848042400.0,0.0
2018-06-07,1193.98,1193.98,1193.98,128100078071.0,0.0
2018-06-06,1224.85,1224.85,1224.85,131411710760.0,0.0
2018-06-05,1237.8,1237.8,1237.8,132801416450.0,0.0
2018-06-04,1289.94,1289.94,1289.94,138395490263.0,0.0
2018-06-01,1205.7,1205.7,1205.7,129356830860.0,0.0
2018-05-31,1415.09,1415.09,1415.09,151822031739.0,0.0
2018-05-30,1415.09,1415.09,1415.09,151822031739.0,0.0
2018-05-29,1426.7,1426.7,1426.7,153067861242.0,0.0
2018-05-28,1261.72,1261.72,1261.72,135367217987.0,0.0
2018-05-25,1471.58,1471.58,1471.58,157882897106.0,0.0
2018-05-24,1487.39,1487.39,1487.39,159579384394.0,0.0
2018-05-23,1731.53,1731.53,1731.53,185772404041.0,0.0
2018-05-22,1823.4,1823.4,1823.4,195628750031.0,365326723.0
2018-05-21,1856.51,1856.51,1856.51,199553592143.0,0.0
2018-05-18,1910.95,1910.95,1910.95,205405190268.0,0.0
2018-05-17,1922.69,1922.69,1922.69,206666683656.0,0.0
2018-05-16,2020.15,2020.15,2020.15,217143173296.0,0.0
2018-05-15,1974.86,1974.86,1974.86,212274349439.0,0.0
2018-05-14,1929.82,1929.82,1929.82,207432991410.0,0.0
2018-05-11,1861.49,1861.49,1861.49,200088454677.0,0.0
2018-05-10,1868.61,1868.61,1868.61,200854491549.0,0.0
2018-05-09,1780.7,1780.7,1780.7,191404414208.0,0.0
2018-05-08,1631.75,1631.75,1631.75,175394534391.0,0.0
2018-05-07,1623.52,1623.52,1623.52,174509561777.0,0.0
2018-05-04,1581.19,1581.19,1581.19,169959514822.0,0.0
2018-05-03,1602.05,1602.05,1602.05,172202207515.0,0.0
2018-05-02,1615.83,1615.83,1615.83,173682935523.0,0.0
2018-05-01,1630.54,1630.54,1630.54,175264244417.0,0.0
2018-04-30,1630.54,1630.54,1630.54,175264244417.0,0.0
2018-04-27,1617.52,1617.52,1617.52,173864703871.0,0.0
2018-04-26,1612.72,1612.72,1612.72,173348864923.0,0.0
2018-04-25,1549.99,1549.99,1549.99,166605608786.0,0.0
2018-04-24,1598.5,1598.5,1598.5,171820001358.0,0.0
2018-04-23,1603.89,1603.89,1603.89,172399606687.0,0.0
2018-04-20,1602.77,1602.77,1602.77,172278869793.0,0.0
2018-04-19,1595.04,1595.04,1595.04,171448508478.0,0.0
2018-04-18,1571.42,1571.42,1571.42,168909819230.0,0.0
2018-04-17,1518.7,1518.7,1518.7,163243304612.0,0.0
2018-04-16,1490.75,1490.75,1490.75,160238934296.0,0.0
2018-04-13,1538.63,1538.63,1538.63,165385234185.0,0.0
2018-04-12,1577.02,1577.02,1577.02,169511050348.0,151968187.0
2018-04-11,1579.7,1579.7,1579.7,169951762810.0,0.0
2018-04-10,1547.21,1547.21,1547.21,166456212684.0,0.0
2018-04-09,1486.93,1486.93,1486.93,159971171642.0,0.0
2018-04-06,1535.61,1535.61,1535.61,165208289328.0,0.0
2018-04-05,1523.01,1523.01,1523.01,163853038813.0,0.0
2018-04-04,1475.9,1475.9,1475.9,158784207858.0,0.0
2018-04-03,1489.35,1489.35,1489.35,160231618952.0,0.0
