Date,Price US$,Daily %,Monthly %
2018-08-24,20.73,0.97,-6.41
2018-08-23,20.53,-1.11,-7.31
2018-08-22,20.76,0.05,-6.28
2018-08-21,20.75,-1.66,-6.32
2018-08-20,21.1,-1.49,-4.74
2018-08-17,21.42,-0.88,-3.3
2018-08-16,21.61,0.37,-2.44
2018-08-15,21.53,-0.55,-2.8
2018-08-14,21.65,2.36,-2.26
2018-08-13,21.15,-1.95,-4.51
2018-08-10,21.57,-0.83,-2.62
2018-08-09,21.75,-0.64,-1.81
2018-08-08,21.89,0.55,-1.17
2018-08-07,21.77,0.18,-1.72
2018-08-06,21.73,-1.76,-1.9
2018-08-03,22.12,,
2018-08-02,21.97,,
2018-08-01,22.03,,
2018-07-31,22.15,,
2018-07-30,22.0,,
2018-07-27,22.05,,
2018-07-26,21.82,,
2018-07-25,22.07,,
2018-07-24,21.86,,
2018-07-23,21.76,,
2018-07-20,21.87,,
2018-07-19,21.52,,
2018-07-18,21.59,,
2018-07-17,21.63,,
2018-07-16,21.27,,
2018-07-13,21.24,,
2018-07-12,21.09,,
2018-07-11,20.95,,
2018-07-10,21.51,,
2018-07-09,21.09,,
2018-07-06,20.99,,
2018-07-05,20.65,,
2018-07-04,20.71,,
2018-07-03,20.86,,
2018-07-02,20.71,,
2018-06-29,20.75,,
2018-06-28,20.67,,
2018-06-27,20.3,,
2018-06-26,20.43,,
2018-06-25,20.55,,
2018-06-22,20.72,,
2018-06-21,20.74,,
2018-06-20,20.44,,
2018-06-19,20.63,,
2018-06-18,20.6,,
2018-06-15,20.7,,
2018-06-14,20.13,,
2018-06-13,20.53,,
2018-06-12,20.52,,
2018-06-11,20.75,,
2018-06-08,21.41,,
2018-06-07,20.58,,
2018-06-06,21.12,,
2018-06-05,21.15,,
2018-06-04,21.44,,
2018-06-01,21.44,,
2018-05-30,21.5,,
2018-05-29,21.45,,
2018-05-28,21.4,,
2018-05-25,21.82,,
2018-05-24,21.97,,
2018-05-23,22.15,,
2018-05-22,22.07,,
2018-05-21,21.83,,
2018-05-18,21.45,,
2018-05-17,21.41,,
2018-05-16,21.65,,
2018-05-15,21.96,,
2018-05-14,22.23,,
2018-05-11,22.18,,
2018-05-10,22.59,,
2018-05-09,22.35,,
2018-05-08,22.52,,
2018-05-07,22.52,,
2018-05-04,23.05,,
2018-05-03,23.0,,
2018-05-02,22.88,,
2018-04-30,23.17,,
2018-04-27,23.45,,
2018-04-26,23.4,,
2018-04-25,23.25,,
2018-04-24,23.2,,
2018-04-23,23.14,,
2018-04-20,23.29,,
2018-04-19,23.28,,
2018-04-18,23.6,,
2018-04-17,23.48,,
2018-04-16,23.54,,
2018-04-13,23.57,,
2018-04-12,23.56,,
2018-04-11,23.67,,
2018-04-10,23.67,,
2018-04-09,23.74,,
2018-04-06,23.47,,
2018-04-05,23.36,,
2018-04-04,22.86,,
2018-04-03,22.94,,
2018-04-02,22.82,,
2018-03-29,22.74,,
2018-03-28,22.41,,
2018-03-27,22.29,,
2018-03-26,22.33,,
2018-03-23,22.01,,
2018-03-22,22.12,,
2018-03-21,22.22,,
2018-03-20,21.96,,
2018-03-19,22.21,,
2018-03-16,22.61,,
2018-03-15,22.42,,
2018-03-14,22.51,,
2018-03-13,22.58,,
2018-03-12,22.54,,
2018-03-09,22.75,,
2018-03-08,22.78,,
2018-03-07,22.76,,
2018-03-06,23.04,,
2018-03-05,22.72,,
2018-03-02,22.61,,
2018-03-01,22.36,,
2018-02-28,22.31,,
2018-02-27,22.01,,
2018-02-26,22.06,,
2018-02-23,21.95,,
2018-02-22,21.96,,
2018-02-21,21.75,,
2018-02-20,21.56,,
2018-02-19,21.58,,
2018-02-16,21.63,,
2018-02-15,21.38,,
2018-02-14,21.51,,
2018-02-09,20.68,,
2018-02-08,20.79,,
2018-02-07,20.74,,
2018-02-06,20.81,,
2018-02-05,20.71,,
2018-02-02,20.94,,
2018-02-01,21.05,,
2018-01-31,21.0,,
2018-01-30,21.14,,
2018-01-29,21.16,,
2018-01-26,21.17,,
2018-01-25,21.48,,
2018-01-24,21.31,,
2018-01-23,20.9,,
2018-01-22,21.04,,
2018-01-19,20.99,,
2018-01-18,20.97,,
2018-01-17,20.79,,
2018-01-16,20.72,,
2018-01-15,20.99,,
2018-01-12,20.84,,
2018-01-11,20.96,,
2018-01-10,21.0,,
2018-01-09,20.87,,
2018-01-08,21.01,,
2018-01-05,21.0,,
2018-01-04,20.93,,
2018-01-03,21.02,,
2018-01-02,20.87,,
2017-12-28,20.81,,
2017-12-27,20.82,,
2017-12-26,20.8,,
2017-12-22,20.6,,
2017-12-21,20.73,,
2017-12-20,20.88,,
