Date,bean_high,bean_low,bean_settle,bean_volume,bean_openint,meal_high,meal_low,meal_settle,meal_volume,meal_openint,soyoil_high,soyoil_low,soyoil_settle,soyoil_volume,soyoil_openint
2018-09-02,833.25,816.0,833.0,6332.0,3996.0,304.9,300.0,303.7,6076.0,5890.0,28.44,28.12,28.37,4685.0,4385.0
2018-09-01,833.25,816.0,833.0,6332.0,3996.0,304.9,300.0,303.7,6076.0,5890.0,28.44,28.12,28.37,4685.0,4385.0
2018-08-31,833.25,816.0,833.0,6332.0,3996.0,304.9,300.0,303.7,6076.0,5890.0,28.44,28.12,28.37,4685.0,4385.0
2018-08-30,831.5,817.0,819.5,16179.0,7374.0,303.2,300.3,301.4,26114.0,13827.0,28.31,27.95,28.28,14679.0,10250.0
2018-08-29,830.75,819.75,823.25,23786.0,16896.0,304.2,300.0,302.1,23297.0,22228.0,28.32,28.0,28.03,22770.0,16948.0
2018-08-28,836.5,820.25,820.5,23366.0,24398.0,306.7,300.6,300.7,25495.0,30737.0,28.57,28.12,28.18,25699.0,27230.0
2018-08-27,840.0,824.75,834.75,27365.0,32549.0,312.0,304.5,306.3,32788.0,38340.0,28.51,27.91,28.37,29338.0,33100.0
2018-08-26,840.0,824.75,834.75,27365.0,32549.0,312.0,304.5,306.3,32788.0,38340.0,28.51,27.91,28.37,29338.0,33100.0
2018-08-25,840.0,824.75,834.75,27365.0,32549.0,312.0,304.5,306.3,32788.0,38340.0,28.51,27.91,28.37,29338.0,33100.0
2018-08-24,848.5,840.75,842.0,26404.0,43884.0,316.1,312.3,312.7,22304.0,47349.0,28.48,28.01,28.15,21184.0,36238.0
2018-08-23,861.75,842.0,842.0,17269.0,45584.0,322.2,313.5,313.7,21759.0,51895.0,28.25,27.96,28.03,10656.0,36737.0
2018-08-22,873.75,857.25,858.25,19277.0,46265.0,325.1,321.0,321.1,19855.0,54327.0,28.61,28.14,28.22,16965.0,40010.0
2018-08-21,883.25,873.5,874.5,17183.0,50272.0,328.5,324.6,324.9,16975.0,58097.0,28.76,28.27,28.59,17138.0,43324.0
2018-08-20,896.0,880.5,881.75,9846.0,51348.0,333.6,327.4,328.2,11149.0,60682.0,28.61,28.32,28.54,8426.0,43819.0
2018-08-19,896.0,880.5,881.75,9846.0,51348.0,333.6,327.4,328.2,11149.0,60682.0,28.61,28.32,28.54,8426.0,43819.0
2018-08-18,896.0,880.5,881.75,9846.0,51348.0,333.6,327.4,328.2,11149.0,60682.0,28.61,28.32,28.54,8426.0,43819.0
2018-08-17,887.5,871.0,881.5,18231.0,51689.0,336.0,329.4,330.1,10242.0,63439.0,28.4,28.07,28.23,8203.0,45458.0
2018-08-16,888.25,854.5,885.5,18251.0,53774.0,335.8,329.5,334.6,11829.0,64950.0,28.25,27.8,28.15,11318.0,48049.0
2018-08-15,872.5,856.5,857.5,9598.0,53896.0,337.2,329.4,329.5,15785.0,68045.0,28.29,27.74,27.88,17938.0,50949.0
2018-08-14,862.25,856.5,864.5,81.0,82.0,333.4,329.4,335.0,108.0,36.0,28.07,28.06,28.09,135.0,70.0
2018-08-13,852.75,838.0,853.5,139.0,278.0,328.0,321.4,327.8,273.0,308.0,28.15,27.94,28.24,42.0,93.0
2018-08-12,852.75,838.0,853.5,139.0,278.0,328.0,321.4,327.8,273.0,308.0,28.15,27.94,28.24,42.0,93.0
2018-08-11,852.75,838.0,853.5,139.0,278.0,328.0,321.4,327.8,273.0,308.0,28.15,27.94,28.24,42.0,93.0
2018-08-10,886.25,845.25,846.0,304.0,467.0,333.9,323.5,323.5,526.0,747.0,28.51,27.97,27.99,150.0,317.0
2018-08-09,890.5,887.5,887.75,612.0,930.0,337.5,334.0,334.0,533.0,1056.0,28.46,28.38,28.42,279.0,642.0
2018-08-08,895.75,889.25,893.75,1415.0,1210.0,338.0,331.5,337.1,963.0,1594.0,28.72,28.39,28.45,1304.0,838.0
2018-08-07,891.25,883.25,889.25,2138.0,1726.0,333.9,330.7,332.7,927.0,2137.0,28.56,28.35,28.59,887.0,1132.0
