Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2018-08-31,816.0,833.25,816.0,833.25,13.5,833.0,6332.0,3996.0
2018-08-30,823.0,831.5,817.0,818.5,3.75,819.5,16179.0,7374.0
2018-08-29,820.75,830.75,819.75,824.75,2.75,823.25,23786.0,16896.0
2018-08-28,833.25,836.5,820.25,820.75,14.25,820.5,23366.0,24398.0
2018-08-27,838.25,840.0,824.75,835.25,7.25,834.75,27365.0,32549.0
2018-08-24,841.5,848.5,840.75,841.25,,842.0,26404.0,43884.0
2018-08-23,857.5,861.75,842.0,842.5,16.25,842.0,17269.0,45584.0
2018-08-22,873.5,873.75,857.25,858.5,16.25,858.25,19277.0,46265.0
2018-08-21,874.0,883.25,873.5,873.5,7.25,874.5,17183.0,50272.0
2018-08-20,889.75,896.0,880.5,885.25,0.25,881.75,9846.0,51348.0
2018-08-17,884.75,887.5,871.0,876.75,4.0,881.5,18231.0,51689.0
2018-08-16,859.75,888.25,854.5,885.25,28.0,885.5,18251.0,53774.0
2018-08-15,867.75,872.5,856.5,857.5,10.75,857.5,9598.0,53896.0
2018-08-14,858.5,862.25,856.5,861.75,11.0,864.5,81.0,82.0
2018-08-13,838.0,852.75,838.0,852.75,7.5,853.5,139.0,278.0
2018-08-10,886.25,886.25,845.25,845.25,41.75,846.0,304.0,467.0
2018-08-09,890.5,890.5,887.5,887.5,6.0,887.75,612.0,930.0
2018-08-08,892.0,895.75,889.25,894.0,4.5,893.75,1415.0,1210.0
2018-08-07,887.75,891.25,883.25,888.75,12.0,889.25,2138.0,1726.0
2018-08-06,880.5,881.0,872.5,878.5,9.0,877.25,1749.0,1752.0
2018-08-03,878.5,886.5,870.5,886.5,3.75,886.25,2608.0,2003.0
2018-08-02,886.75,886.75,873.75,882.5,4.25,882.5,4071.0,3541.0
2018-08-01,898.0,898.0,884.75,886.5,17.0,886.75,11290.0,6662.0
2018-07-31,875.5,906.0,873.25,902.75,28.75,903.75,14277.0,10869.0
2018-07-30,878.5,881.25,871.25,876.0,4.5,875.0,54567.0,27406.0
2018-07-27,858.25,874.0,858.25,870.25,9.25,870.5,35291.0,48029.0
2018-07-26,870.0,881.0,858.25,859.0,0.5,861.25,42094.0,57291.0
2018-07-25,860.0,863.0,852.0,860.75,2.75,860.75,26585.0,64857.0
2018-07-24,844.0,862.75,842.5,858.75,10.25,858.0,31358.0,71961.0
2018-07-23,853.25,854.75,847.25,848.0,2.0,847.75,23769.0,76972.0
2018-07-20,846.0,853.25,841.25,848.0,3.75,849.75,20935.0,80399.0
2018-07-19,842.0,846.75,836.75,846.5,3.75,846.0,22652.0,81332.0
2018-07-18,839.0,847.5,834.75,842.0,2.75,842.25,14325.0,80420.0
2018-07-17,833.25,843.5,830.0,840.0,10.0,839.5,30449.0,82683.0
2018-07-16,818.5,838.0,810.5,829.5,10.75,829.5,21316.0,85374.0
2018-07-13,831.5,831.5,810.75,816.75,16.0,814.0,99.0,146.0
2018-07-12,832.75,833.25,821.25,831.0,0.25,830.0,154.0,388.0
2018-07-11,840.5,842.25,829.5,830.5,22.5,829.75,975.0,846.0
2018-07-10,849.0,860.25,847.5,850.5,0.5,852.25,866.0,1044.0
2018-07-09,867.5,867.5,848.25,851.75,22.25,851.75,1258.0,1099.0
2018-07-06,836.0,877.25,834.5,874.0,38.5,874.0,2510.0,1765.0
2018-07-05,843.5,846.0,834.0,834.0,8.5,835.5,3567.0,2321.0
2018-07-03,849.5,852.75,843.0,843.25,4.5,844.0,4639.0,3755.0
2018-07-02,860.0,862.5,845.75,847.75,10.0,848.5,5532.0,5046.0
2018-06-29,861.25,876.5,857.5,857.75,2.75,858.5,10641.0,9300.0
2018-06-28,865.25,869.5,859.5,862.0,6.25,861.25,41214.0,23545.0
2018-06-27,868.0,878.0,866.0,866.75,0.25,867.5,78056.0,59379.0
2018-06-26,873.25,881.0,862.5,867.0,7.25,867.25,69611.0,81248.0
2018-06-25,896.5,899.0,871.75,874.25,20.0,874.5,56113.0,114132.0
2018-06-22,879.25,897.5,878.75,892.25,14.0,894.5,103259.0,180954.0
2018-06-21,889.5,891.25,878.25,879.5,9.0,880.5,88061.0,194071.0
2018-06-20,890.75,896.0,877.0,888.25,0.5,889.5,109226.0,213905.0
2018-06-19,905.0,905.75,841.5,890.0,19.5,889.0,171277.0,229759.0
2018-06-18,905.5,914.0,897.25,907.5,3.0,908.5,116698.0,253111.0
2018-06-15,926.25,929.75,903.0,905.5,21.75,905.5,160341.0,268987.0
2018-06-14,933.75,937.75,924.0,927.5,8.75,927.25,102027.0,279347.0
2018-06-13,954.0,958.5,934.25,936.25,18.0,936.0,169288.0,295391.0
2018-06-12,956.5,963.25,952.0,954.0,0.25,954.0,122545.0,311919.0
2018-06-11,966.75,972.25,953.25,955.0,15.5,953.75,124053.0,329296.0
