Date,Price in Contemporary Dollars,Price in $ 2016
2016-12-31,43.734169960474,43.734169960474
2015-12-31,52.386758893281,53.047624607938
2014-12-31,98.946007905138,100.31315270719
2013-12-31,108.65851778656,111.94686091596
2012-12-31,111.66970238095,116.73436701022
2011-12-31,111.25559760956,118.70828228625
2010-12-31,79.495533596838,87.4980946763
2009-12-31,61.671264822134,68.992925466719
2008-12-31,97.255972762646,108.41518354974
2007-12-31,72.389078431373,83.793372975802
2006-12-31,65.1440625,77.554717303757
2005-12-31,54.521089494163,67.001756925891
2004-12-31,38.265,48.617617019587
2003-12-31,28.830703125,37.60636173327
2002-12-31,25.023255813953,33.383860782605
2001-12-31,24.443891050584,33.126510283669
2000-12-31,28.49544921875,39.716070128597
1999-12-31,17.970077821012,25.888021984061
1998-12-31,12.715661478599,18.722992451721
1997-12-31,19.092587548638,28.550496249922
1996-12-31,20.668488372093,31.61620073562
1995-12-31,17.0166796875,26.798702393425
1994-12-31,15.817626459144,25.615832450785
1993-12-31,16.971634241245,28.189003525532
1992-12-31,19.320836575875,33.051575408811
1991-12-31,20.000914396887,35.24928393316
1990-12-31,23.7258203125,43.568193976604
1989-12-31,18.22611328125,35.277377216073
1988-12-31,14.923841698842,30.27748499486
1987-12-31,18.435039370079,38.948402299963
1986-12-31,14.43,31.599461770073
1985-12-31,27.56,61.473911895911
1984-12-31,28.78,66.481246005775
1983-12-31,29.55,71.206896084337
1982-12-31,32.97,82.000319067358
1981-12-31,35.93,94.867453355336
1980-12-31,36.83,107.27497342233
1979-12-31,31.61,104.49891556474
1978-12-31,14.02,51.608867177914
1977-12-31,13.92,55.0913987856
1976-12-31,12.8,53.976614272
1975-12-31,11.53,51.4437483989
1974-12-31,11.58,56.3916127074
1973-12-31,3.29,17.7744144053
1972-12-31,2.48,14.2316470776
1971-12-31,2.24,13.2576026688
1970-12-31,1.8,11.120004324
1969-12-31,1.8,11.776663476
1968-12-31,1.8,12.411721998
1967-12-31,1.8,12.930137118
1966-12-31,1.8,13.30598808
1965-12-31,1.8,13.677518916
1964-12-31,1.8,13.91080572
1963-12-31,1.8,14.10521139
1962-12-31,1.8,14.273696304
1961-12-31,1.8,14.42922084
1960-12-31,1.9,15.381328609
1959-12-31,2.08,17.1080829712
1958-12-31,2.08,17.2578473392
1957-12-31,1.9,16.183912017
1956-12-31,1.93,17.0369928978
1955-12-31,1.93,17.2871281932
1954-12-31,1.93,17.2176461667
1953-12-31,1.93,17.3010245985
