Date,Area harvested - ha,Yield - hg/ha,Production - tonnes,Seed - tonnes
2016-12-31,33482430.0,35006.0,117208380.0,2613000.0
2015-12-31,33123470.0,32289.0,106953940.0,2613000.0
2014-12-31,33423750.0,31977.0,106877870.0,2613000.0
2013-12-31,30858830.0,29615.0,91389350.0,2640000.0
2012-12-31,30814720.0,26867.0,82790870.0,2422000.0
2011-12-31,29856410.0,28232.0,84291400.0,2450000.0
2010-12-31,31003300.0,29243.0,90663290.0,2450000.0
2009-12-31,30906980.0,29595.0,91469550.0,2450000.0
2008-12-31,30222650.0,26718.0,80748700.0,2450000.0
2007-12-31,25959240.0,28067.0,72859180.0,2531000.0
2006-12-31,30190680.0,28817.0,87000620.0,2177000.0
2005-12-31,28834570.0,28961.0,83506580.0,2531000.0
2004-12-31,29930060.0,28405.0,85015630.0,2395000.0
2003-12-31,29330310.0,22769.0,66782720.0,2503000.0
2002-12-31,29338810.0,25567.0,75010030.0,2367753.0
2001-12-31,29532250.0,26639.0,78671470.0,2449399.0
2000-12-31,29302790.0,25614.0,75055290.0,2476615.0
1999-12-31,29318170.0,24634.0,72223460.0,2449400.0
1998-12-31,28506770.0,26169.0,74598180.0,2395000.0
1997-12-31,27968130.0,26164.0,73175780.0,2340000.0
1996-12-31,25636710.0,25269.0,64780440.0,2259000.0
1995-12-31,24906240.0,23759.0,59173500.0,1959000.0
1994-12-31,24608790.0,27813.0,68443520.0,1960000.0
1993-12-31,23191570.0,21941.0,50885390.0,1823000.0
1992-12-31,23566310.0,25295.0,59611670.0,1742000.0
1991-12-31,23476470.0,23029.0,54064730.0,1497000.0
1990-12-31,22869008.0,22920.0,52416000.0,1581000.0
1989-12-31,24033008.0,21783.0,52350000.0,1544000.0
1988-12-31,23218000.0,18155.0,42153008.0,1624000.0
1987-12-31,23136000.0,22794.0,52737008.0,1499700.0
1986-12-31,23590000.0,22411.0,52868000.0,1578082.0
1985-12-31,24922000.0,22923.0,57128000.0,1648626.0
1984-12-31,26755008.0,18930.0,50648000.0,1686000.0
1983-12-31,25302608.0,17594.0,44518400.0,1810000.0
1982-12-31,28101808.0,21213.0,59611104.0,1700000.0
1981-12-31,26774800.0,20331.0,54436000.0,1769000.0
1980-12-31,27442608.0,17827.0,48921904.0,1823000.0
1979-12-31,28466400.0,21614.0,61526304.0,2041000.0
1978-12-31,25763776.0,19741.0,50860000.0,1850000.0
1977-12-31,23402640.0,20552.0,48097936.0,1660000.0
1976-12-31,19991600.0,17543.0,35071008.0,1456000.0
1975-12-31,21697728.0,19421.0,42139728.0,1557000.0
1974-12-31,20776672.0,15933.0,33102464.0,1527000.0
1973-12-31,22527328.0,18696.0,42117936.0,1655000.0
1972-12-31,18486992.0,18706.0,34580864.0,1388000.0
1971-12-31,17281856.0,18522.0,32008768.0,1309000.0
1970-12-31,17097328.0,17941.0,30675152.0,1320000.0
1969-12-31,16728257.0,18435.0,30838992.0,1287000.0
1968-12-31,16750110.0,17986.0,30126976.0,1323000.0
1967-12-31,16108287.0,16498.0,26574768.0,1282000.0
1966-12-31,14789000.0,17087.0,25270000.0,1165000.0
1965-12-31,13941000.0,16508.0,23014000.0,1168000.0
1964-12-31,12461000.0,15309.0,19076000.0,1097000.0
1963-12-31,11580000.0,16432.0,19028000.0,980000.0
1962-12-31,11172000.0,16302.0,18213008.0,942000.0
1961-12-31,10928000.0,16900.0,18468000.0,906000.0
