Date,Area harvested - ha,Yield - hg/ha,Production - tonnes,Seed - tonnes
2016-12-31,33153679.0,29046.0,96296714.0,1212329.0
2015-12-31,32181243.0,30286.0,97464936.0,1212329.0
2014-12-31,30273763.0,28659.0,86760520.0,1212329.0
2013-12-31,27906675.0,29285.0,81724477.0,1212329.0
2012-12-31,24975258.0,26366.0,65848857.0,1117944.0
2011-12-31,23968663.0,31214.0,74815447.0,1003622.0
2010-12-31,23327296.0,29475.0,68756343.0,961296.0
2009-12-31,21750468.0,26365.0,57345382.0,933564.0
2008-12-31,21246302.0,28162.0,59833104.0,870471.0
2007-12-31,20565279.0,28133.0,57857172.0,850109.0
2006-12-31,22047348.0,23796.0,52464640.0,822856.0
2005-12-31,22948874.0,22303.0,51182072.0,883308.0
2004-12-31,21538990.0,23005.0,49549940.0,937072.0
2003-12-31,18524768.0,28027.0,51919440.0,864054.0
2002-12-31,16359441.0,25739.0,42107618.0,740992.0
2001-12-31,13985099.0,27105.0,37907259.0,654616.0
2000-12-31,13656771.0,24033.0,32820826.0,559536.0
1999-12-31,13061410.0,23724.0,30987476.0,547747.0
1998-12-31,13303656.0,23533.0,31307440.0,522792.0
1997-12-31,11486478.0,22977.0,26392636.0,532788.0
1996-12-31,10299470.0,22493.0,23166874.0,460324.0
1995-12-31,11675005.0,21998.0,25682637.0,413928.0
1994-12-31,11525410.0,21632.0,24931832.0,468116.0
1993-12-31,10635330.0,21241.0,22590978.0,461784.0
1992-12-31,9441390.0,20352.0,19214704.0,426168.0
1991-12-31,9616650.0,15533.0,14937806.0,378545.0
1990-12-31,11487300.0,17322.0,19897804.0,386705.0
1989-12-31,12200560.0,19714.0,24051670.0,463388.0
1988-12-31,10518370.0,17124.0,18011650.0,489438.0
1987-12-31,9129795.0,18595.0,16977150.0,423991.0
1986-12-31,9181587.0,14522.0,13333360.0,366501.0
1985-12-31,10153405.0,18002.0,18278592.0,367385.0
1984-12-31,9421202.0,16496.0,15540792.0,406136.0
1983-12-31,8137112.0,17921.0,14582347.0,376848.0
1982-12-31,8203277.0,15647.0,12836047.0,325484.0
1981-12-31,8501169.0,17653.0,15007367.0,328131.0
1980-12-31,8774023.0,17273.0,15155804.0,340047.0
1979-12-31,8256096.0,12403.0,10240306.0,350961.0
1978-12-31,7782187.0,12260.0,9540577.0,330244.0
1977-12-31,7070263.0,17699.0,12513406.0,311287.0
1976-12-31,6416368.0,17498.0,11227123.0,282811.0
1975-12-31,5824492.0,16985.0,9893008.0,256655.0
1974-12-31,5143367.0,15314.0,7876527.0,232980.0
1973-12-31,3615058.0,13863.0,5011614.0,205735.0
1972-12-31,2191455.0,14705.0,3222631.0,144602.0
1971-12-31,1716420.0,12102.0,2077291.0,87658.0
1970-12-31,1318809.0,11439.0,1508540.0,68657.0
1969-12-31,906073.0,11661.0,1056607.0,52752.0
1968-12-31,721913.0,9066.0,654476.0,36243.0
1967-12-31,612115.0,11691.0,715606.0,28877.0
1966-12-31,490687.0,12125.0,594975.0,24485.0
1965-12-31,431834.0,12115.0,523176.0,19627.0
1964-12-31,359622.0,8478.0,304897.0,17273.0
1963-12-31,339796.0,9503.0,322915.0,14385.0
1962-12-31,313640.0,11005.0,345175.0,13592.0
1961-12-31,240919.0,11269.0,271488.0,12546.0
