Date,Area harvested - ha,Yield - hg/ha,Production - tonnes,Seed - tonnes
2016-12-31,19504648.0,30146.0,58799258.0,1088000.0
2015-12-31,19334915.0,31755.0,61398276.0,1088000.0
2014-12-31,19252552.0,27735.0,53397715.0,1088000.0
2013-12-31,19418824.0,25391.0,49306200.0,1088000.0
2012-12-31,17577320.0,22814.0,40100196.0,1101956.0
2011-12-31,18764850.0,26053.0,48888536.0,1026902.0
2010-12-31,18130800.0,29053.0,52675464.0,1039624.0
2009-12-31,16771003.0,18480.0,30993380.0,1008917.0
2008-12-31,16387438.0,28216.0,46238088.0,992359.0
2007-12-31,15981264.0,29712.0,47482784.0,913194.0
2006-12-31,15130038.0,26793.0,40537364.0,887774.0
2005-12-31,14032198.0,27287.0,38289744.0,846641.0
2004-12-31,14304539.0,22075.0,31576752.0,791722.0
2003-12-31,12419995.0,28034.0,34818552.0,798963.0
2002-12-31,11405247.0,26304.0,30000000.0,693376.0
2001-12-31,10400193.0,25846.0,26880852.0,640158.0
2000-12-31,8637503.0,23312.0,20135800.0,586538.0
1999-12-31,8180000.0,24450.0,20000000.0,483478.0
1998-12-31,6954120.0,26937.0,18732172.0,462000.0
1997-12-31,6393780.0,17212.0,11004890.0,394694.0
1996-12-31,5913415.0,21051.0,12448200.0,366823.0
1995-12-31,5934160.0,20446.0,12133000.0,330119.0
1994-12-31,5748910.0,20386.0,11719900.0,330618.0
1993-12-31,5116235.0,21589.0,11045400.0,319962.0
1992-12-31,4935710.0,22915.0,11310000.0,292581.0
1991-12-31,4774500.0,22750.0,10862000.0,275220.0
1990-12-31,4961600.0,21566.0,10700000.0,273163.0
1989-12-31,3931250.0,16534.0,6500000.0,280500.0
1988-12-31,4373200.0,22638.0,9900000.0,256850.0
1987-12-31,3532650.0,18966.0,6700000.0,242715.0
1986-12-31,3316000.0,21411.0,7100000.0,203500.0
1985-12-31,3269000.0,19884.0,6500000.0,183700.0
1984-12-31,2910000.0,24055.0,7000000.0,181500.0
1983-12-31,2280700.0,17538.0,4000000.0,160600.0
1982-12-31,1985600.0,20900.0,4150000.0,129910.0
1981-12-31,1880000.0,20053.0,3770000.0,112200.0
1980-12-31,2030000.0,17241.0,3500000.0,105875.0
1979-12-31,1600000.0,23125.0,3700000.0,115500.0
1978-12-31,1150000.0,21739.0,2500000.0,90200.0
1977-12-31,660000.0,21212.0,1400000.0,66000.0
1976-12-31,433500.0,16032.0,695000.0,39050.0
1975-12-31,355940.0,13626.0,485000.0,24338.0
1974-12-31,334440.0,14831.0,496000.0,20323.0
1973-12-31,157030.0,17322.0,272000.0,20719.0
1972-12-31,68000.0,11471.0,78000.0,9317.0
1971-12-31,36330.0,16240.0,59000.0,4389.0
1970-12-31,25970.0,10320.0,26800.0,2074.0
1969-12-31,28200.0,11277.0,31800.0,1676.0
1968-12-31,20200.0,10891.0,22000.0,1694.0
1967-12-31,17290.0,11857.0,20500.0,1254.0
1966-12-31,15689.0,11600.0,18200.0,1016.0
1965-12-31,16422.0,10352.0,17000.0,912.0
1964-12-31,12220.0,11457.0,14000.0,966.0
1963-12-31,19302.0,9802.0,18920.0,754.0
1962-12-31,9649.0,11628.0,11220.0,1161.0
1961-12-31,980.0,9765.0,957.0,564.0
