Date,Area harvested - ha,Yield - hg/ha,Production - tonnes,Seed - tonnes
2016-12-31,6640882.0,18019.0,11966328.0,714090.0
2015-12-31,6507748.0,18113.0,11787725.0,714090.0
2014-12-31,6800568.0,17874.0,12155173.0,714090.0
2013-12-31,6790969.0,17600.0,11951879.0,714090.0
2012-12-31,7171140.0,18144.0,13011059.0,713104.0
2011-12-31,7888595.0,18362.0,14485405.0,753061.0
2010-12-31,8515865.0,17712.0,15083504.0,828445.0
2009-12-31,9189913.0,16302.0,14981721.0,894280.0
2008-12-31,9127184.0,17028.0,15541741.0,965050.0
2007-12-31,8753908.0,14537.0,12725147.0,958446.0
2006-12-31,9304505.0,16209.0,15081987.0,919249.0
2005-12-31,9590850.0,17045.0,16348013.0,977062.0
2004-12-31,9588885.0,18148.0,17401780.0,1007429.0
2003-12-31,9313065.0,16529.0,15393541.0,1006179.0
2002-12-31,8719719.0,18929.0,16505768.0,977919.0
2001-12-31,9481868.0,16248.0,15405928.0,915853.0
2000-12-31,9306733.0,16557.0,15409295.0,995689.0
1999-12-31,7962173.0,17892.0,14245652.0,977310.0
1998-12-31,8500855.0,17826.0,15153263.0,836210.0
1997-12-31,8348163.0,17652.0,14736222.0,893018.0
1996-12-31,7475594.0,17703.0,13233693.0,877530.0
1995-12-31,8130544.0,16617.0,13510894.0,785427.0
1994-12-31,9227491.0,17351.0,16011005.0,854435.0
1993-12-31,9459499.0,16195.0,15319715.0,968789.0
1992-12-31,7224840.0,14274.0,10312562.0,992981.0
1991-12-31,7045042.0,13799.0,9721333.0,758505.0
1990-12-31,7563788.0,14554.0,11008140.0,739605.0
1989-12-31,8063021.0,12699.0,10238956.0,794258.0
1988-12-31,8127699.0,14346.0,11659641.0,846517.0
1987-12-31,8453945.0,14434.0,12202043.0,853100.0
1986-12-31,8305277.0,14002.0,11628890.0,887318.0
1985-12-31,7725111.0,13608.0,10512210.0,871680.0
1984-12-31,7291535.0,13309.0,9704545.0,810790.0
1983-12-31,7565192.0,12913.0,9768592.0,765430.0
1982-12-31,8417782.0,10742.0,9042043.0,794358.0
1981-12-31,8025312.0,11639.0,9340883.0,883950.0
1980-12-31,7234329.0,11011.0,7965934.0,842775.0
1979-12-31,7258333.0,10322.0,7491782.0,759495.0
1978-12-31,7168473.0,10617.0,7610824.0,762095.0
1977-12-31,6868117.0,10646.0,7311718.0,752520.0
1976-12-31,6719549.0,9960.0,6692998.0,720790.0
1975-12-31,7033446.0,10382.0,7301920.0,705120.0
1974-12-31,7298454.0,10327.0,7536918.0,737760.0
1973-12-31,7436491.0,11337.0,8430596.0,764570.0
1972-12-31,7612123.0,8552.0,6510221.0,779900.0
1971-12-31,7824151.0,11082.0,8670990.0,798580.0
1970-12-31,8019749.0,10942.0,8775174.0,820720.0
1969-12-31,8365277.0,9201.0,7697111.0,841185.0
1968-12-31,8403461.0,9654.0,8112995.0,877600.0
1967-12-31,8546302.0,9765.0,8345226.0,880270.0
1966-12-31,8468326.0,9841.0,8333271.0,894470.0
1965-12-31,8637176.0,7185.0,6205709.0,886385.0
1964-12-31,10049620.0,7888.0,7927616.0,903920.0
1963-12-31,9678923.0,7194.0,6962645.0,1052558.0
1962-12-31,9548938.0,6873.0,6563011.0,1013189.0
1961-12-31,10006582.0,6260.0,6263900.0,999923.0
