Date,Area harvested - ha,Yield - hg/ha,Production - tonnes,Seed - tonnes
2016-12-31,11500000.0,12181.0,14008000.0,654480.0
2015-12-31,11670000.0,7344.0,8570000.0,654480.0
2014-12-31,11086000.0,9358.0,10374000.0,654480.0
2013-12-31,11716430.0,10123.0,11861000.0,654480.0
2012-12-31,10840000.0,13530.0,14666000.0,732000.0
2011-12-31,10180000.0,11998.0,12214000.0,650400.0
2010-12-31,9554190.0,13330.0,12736000.0,610800.0
2009-12-31,9734700.0,10236.0,9964500.0,573251.0
2008-12-31,9510800.0,10415.0,9905400.0,584082.0
2007-12-31,8880000.0,12351.0,10968000.0,570648.0
2006-12-31,8334000.0,10628.0,8857000.0,532800.0
2005-12-31,7707500.0,10734.0,8273500.0,500040.0
2004-12-31,7571200.0,9082.0,6876300.0,462450.0
2003-12-31,6554700.0,11929.0,7818900.0,454272.0
2002-12-31,6105500.0,7624.0,4654700.0,393282.0
2001-12-31,6343100.0,9400.0,5962700.0,366330.0
2000-12-31,6416600.0,8222.0,5275800.0,380586.0
1999-12-31,6222500.0,11380.0,7081400.0,384996.0
1998-12-31,6493000.0,11001.0,7143000.0,373350.0
1997-12-31,5990200.0,10789.0,6463100.0,389580.0
1996-12-31,5233000.0,10319.0,5400000.0,359412.0
1995-12-31,5035000.0,10121.0,5096000.0,313980.0
1994-12-31,4318000.0,9106.0,3931900.0,302100.0
1993-12-31,4370500.0,10857.0,4745200.0,259080.0
1992-12-31,3789000.0,8947.0,3390000.0,262230.0
1991-12-31,3184800.0,7825.0,2492000.0,227340.0
1990-12-31,2564200.0,10145.0,2601500.0,191088.0
1989-12-31,2253000.0,8014.0,1805600.0,153852.0
1988-12-31,1734100.0,8922.0,1547100.0,135180.0
1987-12-31,1542600.0,5823.0,898300.0,104046.0
1986-12-31,1526800.0,5838.0,891400.0,92556.0
1985-12-31,1339700.0,7644.0,1024100.0,91608.0
1984-12-31,1242700.0,7683.0,954800.0,80382.0
1983-12-31,836000.0,7348.0,614300.0,74562.0
1982-12-31,770000.0,6377.0,491000.0,50160.0
1981-12-31,475000.0,7411.0,352000.0,46200.0
1980-12-31,608000.0,7270.0,442000.0,28500.0
1979-12-31,496000.0,5685.0,282000.0,36480.0
1978-12-31,306000.0,9771.0,299000.0,29760.0
1977-12-31,195000.0,9385.0,183000.0,18360.0
1976-12-31,125000.0,9840.0,123000.0,11700.0
1975-12-31,93000.0,9785.0,91000.0,7500.0
1974-12-31,67000.0,7612.0,51000.0,5580.0
1973-12-31,48000.0,8125.0,39000.0,4020.0
1972-12-31,34000.0,8235.0,28000.0,2880.0
1971-12-31,32000.0,4375.0,14000.0,2040.0
1970-12-31,32000.0,4375.0,14000.0,1920.0
1969-12-31,32000.0,4375.0,14000.0,1920.0
1968-12-31,27000.0,4444.0,12000.0,1920.0
1967-12-31,27000.0,4444.0,12000.0,1620.0
1966-12-31,23000.0,4348.0,10000.0,1620.0
1965-12-31,23000.0,4348.0,10000.0,1380.0
1964-12-31,18000.0,4444.0,8000.0,1380.0
1963-12-31,18000.0,4444.0,8000.0,1080.0
1962-12-31,11000.0,4545.0,5000.0,1080.0
1961-12-31,11000.0,4545.0,5000.0,660.0
