Date,Area harvested - ha,Yield - hg/ha,Production - tonnes,Seed - tonnes
2016-12-31,2190500.0,26602.0,5827100.0,186300.0
2015-12-31,2197400.0,28993.0,6371000.0,186300.0
2014-12-31,2235100.0,27062.0,6048600.0,186300.0
2013-12-31,1860100.0,28810.0,5358900.0,186300.0
2012-12-31,1679000.0,30294.0,5086400.0,174300.0
2011-12-31,1554200.0,28738.0,4466500.0,162000.0
2010-12-31,1505900.0,29515.0,4444600.0,154300.0
2009-12-31,1411700.0,25371.0,3581600.0,145200.0
2008-12-31,1195400.0,27906.0,3335900.0,125700.0
2007-12-31,1167400.0,23010.0,2686200.0,122400.0
2006-12-31,1201200.0,28850.0,3465500.0,126000.0
2005-12-31,1165200.0,27082.0,3155600.0,126000.0
2004-12-31,1173500.0,25939.0,3043900.0,122000.0
2003-12-31,1048600.0,21679.0,2273300.0,129600.0
2002-12-31,1023800.0,22814.0,2335700.0,108800.0
2001-12-31,1068900.0,15298.0,1635200.0,106600.0
2000-12-31,1060700.0,25483.0,2703000.0,112100.0
1999-12-31,1004000.0,27698.0,2780900.0,72000.0
1998-12-31,980100.0,27922.0,2736600.0,67500.0
1997-12-31,1059600.0,25837.0,2737700.0,66000.0
1996-12-31,862200.0,25168.0,2170000.0,71400.0
1995-12-31,824000.0,27882.0,2297500.0,59000.0
1994-12-31,821100.0,27447.0,2253700.0,55600.0
1993-12-31,747900.0,26005.0,1944900.0,55200.0
1992-12-31,622900.0,23363.0,1455300.0,50400.0
1991-12-31,598000.0,24415.0,1460000.0,43300.0
1990-12-31,483600.0,26096.0,1262000.0,40200.0
1989-12-31,539500.0,22589.0,1218700.0,36290.0
1988-12-31,533000.0,21625.0,1152600.0,36300.0
1987-12-31,461000.0,27542.0,1269700.0,35800.0
1986-12-31,384400.0,24969.0,959800.0,30900.0
1985-12-31,405000.0,24988.0,1012000.0,25900.0
1984-12-31,405000.0,22642.0,917000.0,27200.0
1983-12-31,364000.0,20192.0,735000.0,27000.0
1982-12-31,364000.0,23297.0,848000.0,24500.0
1981-12-31,279200.0,21734.0,606800.0,25000.0
1980-12-31,277200.0,24892.0,690000.0,18700.0
1979-12-31,279200.0,23532.0,657000.0,18600.0
1978-12-31,285299.0,18072.0,515580.0,18700.0
1977-12-31,222600.0,26056.0,580000.0,19100.0
1976-12-31,152969.0,16368.0,250387.0,14900.0
1975-12-31,157825.0,23242.0,366817.0,10250.0
1974-12-31,167942.0,16676.0,280053.0,10600.0
1973-12-31,190200.0,20848.0,396537.0,11300.0
1972-12-31,163895.0,22866.0,374764.0,12700.0
1971-12-31,148517.0,18831.0,279671.0,11000.0
1970-12-31,135568.0,20848.0,282628.0,9950.0
1969-12-31,130307.0,16007.0,208576.0,9100.0
1968-12-31,119381.0,20579.0,245679.0,8700.0
1967-12-31,117357.0,18764.0,220205.0,8000.0
1966-12-31,112906.0,21723.0,245271.0,7860.0
1965-12-31,107240.0,20379.0,218544.0,7560.0
1964-12-31,93481.0,20310.0,189859.0,7180.0
1963-12-31,92267.0,14754.0,136134.0,6300.0
1962-12-31,89434.0,20106.0,179817.0,6200.0
1961-12-31,85792.0,21033.0,180443.0,6000.0
