Date,Area harvested - ha,Yield - hg/ha,Production - tonnes,Seed - tonnes
2016-12-31,1979024.0,10711.0,2119814.0,72127.0
2015-12-31,2052112.0,12815.0,2629862.0,72127.0
2014-12-31,1785520.0,13983.0,2496689.0,72127.0
2013-12-31,1817017.0,11285.0,2050481.0,72159.0
2012-12-31,1711410.0,11534.0,1973932.0,69524.0
2011-12-31,1517695.0,11417.0,1732706.0,60815.0
2010-12-31,1099664.0,13259.0,1458082.0,55566.0
2009-12-31,1332779.0,11072.0,1475663.0,41779.0
2008-12-31,1188402.0,11169.0,1327287.0,47300.0
2007-12-31,1357917.0,10392.0,1411189.0,40655.0
2006-12-31,1335083.0,11224.0,1498482.0,48822.0
2005-12-31,1208944.0,10896.0,1317271.0,49465.0
2004-12-31,1143374.0,10262.0,1173356.0,45418.0
2003-12-31,1031071.0,9792.0,1009651.0,42032.0
2002-12-31,989329.0,10406.0,1029535.0,37549.0
2001-12-31,953913.0,10757.0,1026157.0,37073.0
2000-12-31,898500.0,10521.0,945337.0,34679.0
1999-12-31,880887.0,10541.0,928500.0,33096.0
1998-12-31,922849.0,10156.0,937225.0,32753.0
1997-12-31,840800.0,8943.0,751906.0,34212.0
1996-12-31,803706.0,8813.0,708322.0,30963.0
1995-12-31,924289.0,7157.0,661474.0,30235.0
1994-12-31,878442.0,6499.0,570859.0,34106.0
1993-12-31,817531.0,6566.0,536765.0,31592.0
1992-12-31,840378.0,5814.0,488602.0,29490.0
1991-12-31,820503.0,8211.0,673739.0,30718.0
1990-12-31,1034300.0,6778.0,701066.0,30740.0
1989-12-31,976569.0,7047.0,688177.0,35261.0
1988-12-31,668070.0,8113.0,542018.0,33036.0
1987-12-31,522550.0,8452.0,441655.0,24074.0
1986-12-31,390659.0,9402.0,367285.0,19450.0
1985-12-31,370824.0,10186.0,377706.0,14696.0
1984-12-31,383178.0,9240.0,354047.0,13905.0
1983-12-31,380399.0,9229.0,351083.0,15076.0
1982-12-31,525291.0,7991.0,419742.0,14809.0
1981-12-31,451426.0,7944.0,358617.0,18666.0
1980-12-31,423149.0,8029.0,339734.0,15928.0
1979-12-31,396837.0,8241.0,327037.0,15532.0
1978-12-31,362684.0,8499.0,308253.0,14461.0
1977-12-31,323289.0,6621.0,214047.0,13728.0
1976-12-31,296536.0,5985.0,177483.0,11294.0
1975-12-31,272200.0,5552.0,151128.0,10261.0
1974-12-31,250784.0,5421.0,135960.0,9020.0
1973-12-31,243127.0,4369.0,106221.0,7971.0
1972-12-31,240943.0,4312.0,103891.0,7567.0
1971-12-31,236701.0,4121.0,97545.0,7568.0
1970-12-31,222630.0,4366.0,97211.0,7408.0
1969-12-31,193741.0,4594.0,89000.0,7406.0
1968-12-31,217295.0,4163.0,90459.0,6100.0
1967-12-31,193100.0,4189.0,80884.0,6645.0
1966-12-31,206050.0,3746.0,77180.0,5804.0
1965-12-31,209964.0,3480.0,73067.0,6040.0
1964-12-31,207945.0,3692.0,76781.0,6248.0
1963-12-31,220995.0,3949.0,87260.0,6237.0
1962-12-31,214994.0,3935.0,84594.0,6627.0
1961-12-31,191071.0,3758.0,71813.0,6405.0
