Date,Area harvested - ha,Yield - hg/ha,Production - tonnes,Seed - tonnes
2016-12-31,1336399.0,23980.0,3204639.0,148167.0
2015-12-31,1322992.0,23477.0,3105938.0,148167.0
2014-12-31,1282455.0,21945.0,2814321.0,148167.0
2013-12-31,1222855.0,23116.0,2826726.0,128158.0
2012-12-31,1292826.0,20590.0,2661910.0,122534.0
2011-12-31,1177541.0,15804.0,1861038.0,71700.0
2010-12-31,1086769.0,15579.0,1693048.0,71700.0
2009-12-31,902218.0,20977.0,1892619.0,63000.0
2008-12-31,785793.0,16031.0,1259676.0,63539.0
2007-12-31,958279.0,16654.0,1595947.0,63539.0
2006-12-31,950118.0,17040.0,1618966.0,67040.0
2005-12-31,941068.0,17991.0,1693087.0,70000.0
2004-12-31,803990.0,19725.0,1585846.0,65000.0
2003-12-31,684213.0,23180.0,1586031.0,52258.0
2002-12-31,637124.0,19564.0,1246495.0,52478.0
2001-12-31,615292.0,18727.0,1152270.0,44469.0
2000-12-31,616964.0,19406.0,1197251.0,46424.0
1999-12-31,627870.0,15411.0,967625.0,50380.0
1998-12-31,588667.0,19031.0,1120286.0,46452.0
1997-12-31,527050.0,18870.0,994557.0,42196.0
1996-12-31,463243.0,18726.0,867488.0,37059.0
1995-12-31,428326.0,20313.0,870074.0,29983.0
1994-12-31,316689.0,22387.0,708968.0,22150.0
1993-12-31,213674.0,23000.0,491451.0,14635.0
1992-12-31,221931.0,15431.0,342463.0,15360.0
1991-12-31,193289.0,20364.0,393618.0,13300.0
1990-12-31,143372.0,16234.0,232743.0,10036.0
1989-12-31,129366.0,20117.0,260249.0,9056.0
1988-12-31,75483.0,20018.0,151100.0,7560.0
1987-12-31,60500.0,20093.0,121560.0,5284.0
1986-12-31,72518.0,20654.0,149779.0,4235.0
1985-12-31,60518.0,13759.0,83264.0,3703.0
1984-12-31,47614.0,16352.0,77860.0,4236.0
1983-12-31,33137.0,15648.0,51852.0,3300.0
1982-12-31,48750.0,17704.0,86305.0,2300.0
1981-12-31,34830.0,16647.0,57980.0,3400.0
1980-12-31,37580.0,12665.0,47595.0,2400.0
1979-12-31,28390.0,14373.0,40805.0,2600.0
1978-12-31,19430.0,13497.0,26225.0,2000.0
1977-12-31,7580.0,14848.0,11255.0,1400.0
1976-12-31,12100.0,12702.0,15370.0,600.0
1975-12-31,9450.0,12624.0,11930.0,850.0
1974-12-31,5800.0,13793.0,8000.0,650.0
1973-12-31,2000.0,17000.0,3400.0,400.0
1972-12-31,800.0,15000.0,1200.0,140.0
1971-12-31,800.0,15000.0,1200.0,60.0
1970-12-31,1000.0,15000.0,1500.0,60.0
1969-12-31,800.0,15000.0,1200.0,70.0
1968-12-31,430.0,9302.0,400.0,60.0
1967-12-31,313.0,9585.0,300.0,30.0
1966-12-31,,,25.0,0.0
1965-12-31,,,,0.0
1964-12-31,,,,0.0
1963-12-31,,,,0.0
1962-12-31,,,,0.0
1961-12-31,,,,0.0
