Date,Area harvested - ha,Yield - hg/ha,Production - tonnes,Seed - tonnes
2016-12-31,302475.0,18804.0,568778.0,9477.0
2015-12-31,275742.0,14379.0,396486.0,9477.0
2014-12-31,228928.0,19154.0,438496.0,9477.0
2013-12-31,181864.0,16212.0,294841.0,9477.0
2012-12-31,164296.0,18198.0,298980.0,8134.0
2011-12-31,175557.0,14454.0,253746.0,6658.0
2010-12-31,173273.0,12849.0,222640.0,7497.0
2009-12-31,83333.0,19903.0,165861.0,7398.0
2008-12-31,93181.0,21081.0,196438.0,4467.0
2007-12-31,79570.0,16478.0,131115.0,4247.0
2006-12-31,71250.0,17427.0,124163.0,3631.0
2005-12-31,114626.0,20359.0,233366.0,3818.0
2004-12-31,108159.0,16751.0,181181.0,4999.0
2003-12-31,88377.0,19678.0,173907.0,4644.0
2002-12-31,74930.0,17567.0,131628.0,3678.0
2001-12-31,89264.0,18218.0,162617.0,3157.0
2000-12-31,85984.0,16837.0,144767.0,3636.0
1999-12-31,102974.0,18371.0,189176.0,3798.0
1998-12-31,124523.0,17191.0,214064.0,4473.0
1997-12-31,158719.0,17133.0,271931.0,5299.0
1996-12-31,79813.0,16511.0,131782.0,8115.0
1995-12-31,163038.0,15902.0,259261.0,3491.0
1994-12-31,313357.0,18658.0,584657.0,7179.0
1993-12-31,261459.0,21305.0,557046.0,13122.0
1992-12-31,345409.0,18763.0,648089.0,10605.0
1991-12-31,366308.0,21343.0,781806.0,13980.0
1990-12-31,309996.0,20380.0,631785.0,14908.0
1989-12-31,512786.0,20307.0,1041330.0,12837.0
1988-12-31,163246.0,16693.0,272502.0,21208.0
1987-12-31,490811.0,17678.0,867636.0,7150.0
1986-12-31,392889.0,18464.0,725431.0,20708.0
1985-12-31,488311.0,19322.0,943493.0,16677.0
1984-12-31,398561.0,17474.0,696447.0,20652.0
1983-12-31,397919.0,17525.0,697362.0,17332.0
1982-12-31,379127.0,17259.0,654347.0,16851.0
1981-12-31,363858.0,19502.0,709597.0,16611.0
1980-12-31,155287.0,20878.0,324205.0,15261.0
1979-12-31,380667.0,18626.0,709042.0,6450.0
1978-12-31,217714.0,15427.0,335860.0,15728.0
1977-12-31,315471.0,16424.0,518115.0,8709.0
1976-12-31,173507.0,17529.0,304137.0,12619.0
1975-12-31,345230.0,17379.0,599974.0,6940.0
1974-12-31,300218.0,16363.0,491234.0,13809.0
1973-12-31,311995.0,18770.0,585624.0,12009.0
1972-12-31,221734.0,17000.0,376950.0,12480.0
1971-12-31,129013.0,19844.0,256018.0,8869.0
1970-12-31,111844.0,19199.0,214733.0,5161.0
1969-12-31,163276.0,17568.0,286840.0,4474.0
1968-12-31,132982.0,20692.0,275162.0,6531.0
1967-12-31,69881.0,18749.0,131023.0,5319.0
1966-12-31,54243.0,17486.0,94848.0,2795.0
1965-12-31,27446.0,21087.0,57875.0,2170.0
1964-12-31,30629.0,19657.0,60207.0,1098.0
1963-12-31,27426.0,20513.0,56258.0,1225.0
1962-12-31,27326.0,20757.0,56721.0,1097.0
1961-12-31,9943.0,20202.0,20087.0,1093.0
