Date,Area harvested - ha,Yield - hg/ha,Production - tonnes,Seed - tonnes
2016-12-31,2120014.0,14788.0,3135177.0,140000.0
2015-12-31,2084420.0,12992.0,2708170.0,140000.0
2014-12-31,1915895.0,12337.0,2363562.0,140000.0
2013-12-31,1200075.0,12642.0,1517152.0,140000.0
2012-12-31,1375167.0,12239.0,1683123.0,139000.0
2011-12-31,1187372.0,13820.0,1640966.0,134800.0
2010-12-31,1036263.0,11796.0,1222371.0,111800.0
2009-12-31,794233.0,11881.0,943660.0,109700.0
2008-12-31,712460.0,10471.0,745990.0,82000.0
2007-12-31,709900.0,9159.0,650180.0,70000.0
2006-12-31,810130.0,9931.0,804536.0,70000.0
2005-12-31,655840.0,10461.0,686099.0,73000.0
2004-12-31,555300.0,9981.0,554236.0,65000.0
2003-12-31,399490.0,9824.0,392477.0,49000.0
2002-12-31,362420.0,11659.0,422530.0,50000.0
2001-12-31,371900.0,9401.0,349635.0,45000.0
2000-12-31,337260.0,10133.0,341754.0,38000.0
1999-12-31,404490.0,8267.0,334396.0,38000.0
1998-12-31,377400.0,7817.0,295031.0,40000.0
1997-12-31,317880.0,8794.0,279536.0,40000.0
1996-12-31,485140.0,5831.0,282893.0,40000.0
1995-12-31,487090.0,5959.0,290240.0,40000.0
1994-12-31,580050.0,7267.0,421542.0,44000.0
1993-12-31,625090.0,7948.0,496791.0,52000.0
1992-12-31,645370.0,7831.0,505360.0,56000.0
