	Year, Month,Argentina_Temp,Brazil_Temp,China_Temp,India_Temp,Paraguay_Temp
1901,1,20.5068,25.4428,-8.6729,16.2771,27.2056
1901,2,19.735,25.6852,-6.4365,18.189,27.2561
1901,3,18.1317,25.4134,0.65235,23.3944,26.1465
1901,4,13.5216,24.6807,7.55051,27.434,21.3767
1901,5,11.1601,24.2498,12.7269,29.6563,21.3151
1901,6,10.2154,23.6233,16.8987,30.0428,19.7732
1901,7,7.99692,23.9889,19.31,27.4777,20.3928
1901,8,9.27753,24.5464,18.4518,26.217,21.2069
1901,9,12.9267,25.4163,13.9814,26.3156,24.0168
1901,10,15.7964,25.9019,6.87255,25.1825,26.0056
1901,11,17.5532,25.3493,-0.2123,20.7326,26.124
1901,12,20.6557,25.2841,-7.3237,17.4863,27.53
1902,1,21.0173,25.4154,-7.9765,17.7767,27.1568
1902,2,20.9362,25.878,-5.6188,19.4134,28.283
1902,3,17.8175,25.5431,0.845,24.6802,26.3
1902,4,15.5771,25.2931,6.81054,27.6825,23.9856
1902,5,11.9015,24.7728,12.5724,30.0953,22.2508
1902,6,9.00386,24.3457,16.7761,29.608,21.403
1902,7,6.77735,24.0495,18.8765,27.2501,19.8358
1902,8,6.89955,23.6911,17.8276,26.9727,18.0836
1902,9,11.9907,25.408,14.0859,25.8685,24.3142
1902,10,14.5359,25.5335,7.37242,24.3563,24.3906
1902,11,17.0997,25.9746,-0.4219,20.1407,26.4924
1902,12,19.8316,26.0127,-6.5331,17.0481,27.6314
1903,1,20.1659,25.3233,-8.5214,16.9606,27.4818
1903,2,19.9313,25.7234,-5.4184,18.3702,27.8501
1903,3,17.7715,25.7457,-0.0522,22.5214,25.7419
1903,4,13.3227,25.0774,7.19569,27.0121,22.3357
1903,5,10.7337,24.1325,12.4672,29.4572,19.5829
1903,6,8.20792,24.0238,16.7294,29.9202,19.5369
1903,7,7.52366,23.7238,19.0683,27.6734,19.1109
1903,8,8.65353,24.1607,18.1561,26.255,20.2776
1903,9,13.4528,25.2533,13.9319,26.1736,24.5937
1903,10,13.929,25.3112,6.85982,24.2155,23.4181
1903,11,16.8303,25.4216,-1.0896,19.574,25.4585
1903,12,18.8585,25.7167,-7.3812,16.5952,26.2725
1904,1,20.8368,25.0649,-9.1682,16.7357,26.4923
1904,2,19.1368,25.4235,-5.6676,18.9173,26.3012
1904,3,17.1145,25.2458,-0.5744,23.0084,26.0952
1904,4,15.2957,24.9627,7.1091,27.9881,23.5794
1904,5,11.0147,23.6202,12.6099,29.3217,19.1394
1904,6,8.70655,23.057,17.049,28.7641,18.4121
1904,7,8.51353,23.413,18.8973,26.5075,20.3159
1904,8,9.09354,23.8104,18.2957,26.187,20.5191
1904,9,13.0323,24.9,13.8477,25.953,23.4603
1904,10,14.1054,25.1578,6.66483,24.427,23.6332
1904,11,16.6276,25.3359,-0.4451,19.9128,25.9658
1904,12,18.8707,25.2219,-6.5448,17.244,26.2129
1905,1,20.281,25.1291,-7.4643,15.8606,26.3474
1905,2,19.0304,25.4753,-6.9613,16.8244,26.1082
